"relevance","qid","tf","idf","length","bm25","pagerank","inlink","outlink","slash","urlLength","childPage"
0,"12165",0.057131,0,0.113695,0,0.333333,0.208791,0,2.7e-05,9.6e-05,0
0,"12165",0.504994,0,0.671573,0,0.166667,0.175824,0,0.000155,9.6e-05,0
0,"12165",0.423891,0,0.66359,0,0.333333,0.296703,0,7.4e-05,0.000287,0
0,"12165",0.044547,0,0.034087,0,0.5,0.252747,0,6e-05,9.6e-05,0
0,"12189",0.084942,0,0.102541,0,0,0,0,0,0,1
0,"12189",0.826255,0,0.922983,0.856774,0.333333,0.20339,0,0.165131,0.357143,0.344262
0,"12189",0.028958,0,0.016646,0,0.5,0.237288,0,0.701208,0.142857,0.016393
0,"12189",0.225869,0,0.119632,0,0.5,0.220339,0,0.075288,0.071429,0.065574
0,"12189",0.044402,0,0.019754,0,0.333333,0.220339,0,0.09872,0.285714,0
1,"12189",0.451737,0,0.287537,0,0.5,0.313559,0,0.039155,0.142857,0.081967
0,"12189",0.005792,0,0.041172,0,0.5,0.305085,0,0.003266,0.071429,0.131148
0,"12189",0.125483,0,0.105538,0,0.333333,0.254237,0,0,0,0.016393
0,"12189",0.333977,0,0.190212,0,0.333333,0.355932,0,0.00414,0.071429,0.016393
0,"12189",0.015444,0,0.123849,0,0.5,0.245763,0,1,0.5,0.016393
2,"12189",0.225869,0,0.119521,0,0.5,0.186441,0,0.113611,0.071429,0.032787
0,"12189",1,0,0.976917,0,0.333333,0.118644,0,0,0,0
0,"12189",0.03861,0,0.008656,1,0.333333,0.186441,0,0.00053,0.071429,0
0,"12189",0.067568,0,0.104095,0,0.666667,0.220339,0,0.036081,0.142857,0.131148
0,"12189",0.227799,0,0.08756,0,0.666667,0.152542,0,0,0,0.032787
0,"12189",0.243243,0,0.219509,0,0.666667,0.211864,0,0.015049,0.214286,0.180328
0,"12189",0.156371,0,0.122739,0,0.666667,0.279661,0,0.227489,1,0.491803
0,"12189",0,0,0,0,0.833333,0.381356,0,0.040788,0.071429,0
0,"12189",0.048263,0,0.047054,0,1,1,0,0.001069,0.071429,0.081967
0,"12189",0,0,0,0,0.833333,0.398305,0,0.040788,0.071429,0
0,"12189",0.111969,0,0.076795,0,0.5,0.20339,0,0.001048,0.071429,0.016393
1,"12189",0.689189,0,1,0.926727,0.5,0.135593,0,0.065871,0.285714,0
0,"12189",0.017375,0,0.030851,0,0.5,0.220339,0,0.020349,0.142857,0.147541
0,"12189",0.050193,0,0.027744,0.418956,0.833333,0.245763,0,0.005729,0.071429,0
0,"12189",0.123552,0,0.076129,0,1,0.415254,0,0,0,0.016393
0,"12189",0.040541,0,0.029963,0,0.333333,0.144068,0,0.120232,0.214286,0.032787
0,"12189",0.106178,0,0.02963,0,0.833333,0.483051,0,0.168642,0.357143,0.065574
2,"12189",0.218147,0,0.267007,0,0.166667,0.245763,0,0.052047,0.142857,0.032787
0,"12189",0.046332,0,0.010099,0.905557,0.5,0.262712,0,0.000135,0.071429,0.016393
0,"12189",0.534749,0,0.664299,0,0.666667,0.355932,0,0.181758,0.142857,0.016393
0,"12215",0.003041,0,0.010827,0,0.333333,0.27,0,0.004191,0.002762,0.181818
0,"12215",0.013685,0,0.037767,0,0.333333,0.24,0,0.012571,0.002762,0.090909
0,"12215",0.089711,0,0.047394,0,0,0.04,0,0.005479,0.002762,0
0,"12215",0.056766,0,0.024932,0,0.333333,0.05,0,0,0,0
0,"12215",0.004562,0,0.001454,1,0,0.12,0,0.001148,0.002762,0.022727
0,"12215",0.002027,0,0.003624,0,0.5,0.34,0,0.003212,0.005525,0.454545
0,"12215",0.000507,0,0.082737,0,0.333333,0.22,0,0.005776,0.005525,0
0,"12215",0.057273,0,0.087677,0,0.333333,0.16,0,0.004378,0.002762,0.227273
0,"12215",0.086163,0,0.204696,0,0.5,0.28,0,0.001716,0.002762,0.272727
0,"12215",0.06589,0,0.030588,0.18607,0.166667,0.17,0,0.001583,0.005525,0
0,"12215",0.174354,0,0.191999,0,0.166667,0.13,0,0.001065,0.008287,0
0,"12215",0.040041,0,0.070133,0,0.333333,0.16,0,0.005368,0.002762,0.181818
0,"12215",0.004562,0,0.000485,0,0.666667,0.41,0,0,0,0
0,"12215",0.021794,0,0.019668,0.796119,0,0,0,0.007739,0.002762,0.295455
0,"12215",0.069944,0,0.082622,0.538985,0.333333,0.11,0,0.061369,0.008287,0.159091
0,"12215",0.017739,0,0.056074,0,0.166667,0.29,0,0.003264,0.005525,0.227273
0,"12215",0.270654,0,0.254352,0,0.333333,0.29,0,0,0,0
0,"12215",0.056766,0,0.024955,0,0.333333,0.05,0,0.007999,0.022099,0
0,"12215",0.014192,0,0.011242,0.895708,0.5,0.24,0,7.2e-05,0.002762,0.068182
0,"12215",0.043082,0,0.152292,0,0.5,0.24,0,0.02283,0.005525,0.045455
0,"12215",0.017739,0,0.011796,0.316545,0.333333,0.16,0,0.000606,0.002762,0.454545
0,"12215",0.004562,0,0.007595,0,0.666667,0.4,0,0.058432,0.008287,0.068182
0,"12215",0.011151,0,0.008819,0,0.5,0.23,0,0.000998,0.002762,0.022727
0,"12215",0.002534,0,0.000808,0.734,0.833333,0.6,0,0.249557,0.019337,0.045455
0,"12215",0.039534,0,0.050325,0,0.333333,0.25,0,0.009743,0.008287,0.25
0,"12215",0.012164,0,0.010896,0,0.333333,0.26,0,0.020015,0.01105,0.090909
0,"12215",0.010644,0,0.010434,0,0.333333,0.16,0,0.115558,0.096685,0.704545
0,"12215",0.017233,0,0.016044,0,0.166667,0.34,0,0,0,0
0,"12215",0.015712,0,0.009003,0.811115,0.833333,0.37,0,0.017758,0.01105,0.227273
0,"12215",0.024328,0,0.013643,0,0.333333,0.23,0,0.003349,0.002762,0.045455
0,"12215",0.020274,0,0.019484,0.554447,0.166667,0.29,0,0.031266,0.110497,0.568182
0,"12215",0,0,0,0,1,0.68,0,0.009529,0.01105,0.181818
0,"12215",0.017739,0,0.021538,0,0.5,0.24,0,0.000115,0.01105,0
0,"12215",0.008109,0,0.006464,0,1,0.43,0,0.00521,0.005525,0.022727
0,"12215",0.005068,0,0.003878,0,0.333333,0.25,0,0.006902,0.002762,0
0,"12215",0.024835,0,0.07034,0,0.333333,0.13,0,2.7e-05,0.002762,0.181818
0,"12215",0.019767,0,0.019391,0,0.166667,0.29,0,0,0,0.568182
0,"12215",0.003041,0,0.000485,0,0.666667,0.31,0,0,0,0
0,"12215",0.047643,0,0.044185,0,0.166667,0.24,0,0.002615,0.002762,0
0,"12215",0,0,0,0,1,0.68,0,0.009529,0.01105,0.181818
0,"12215",0.005575,0,0.003809,0.65366,0.666667,1,0,0.001565,0.002762,0.022727
0,"12215",0.006589,0,0.007433,0,0.5,0.3,0,0.001587,0.002762,0
0,"12215",0.002534,0,0.00404,0,0.166667,0.07,0,0.0091,0.008287,0.045455
0,"12215",0.002534,0,0.001154,0,0.333333,0.17,0,0,0,0.227273
0,"12215",0.019767,0,0.019391,0,0.166667,0.31,0,0,0,0.272727
0,"12215",0.012164,0,0.012143,0,0.333333,0.28,0,0.017657,0.005525,0.068182
0,"12215",0.016726,0,0.039014,0,0,0.03,0,1,1,1
0,"12215",0.009123,0,0.016344,0,0,0.03,0,0.03993,0.022099,0.590909
0,"12215",0.309681,0,0.684034,0,0.666667,0.22,0,0.003544,0.005525,0
0,"12215",0.438925,0,0.875848,0,0.166667,0.09,0,0,0,0
0,"12215",0.529143,0,0.916109,0,0.166667,0.08,0,0,0,0
0,"12215",0.052712,0,0.421788,0,0.666667,0.17,0,0.015034,0.013812,0
0,"12215",0.019767,0,0.019438,0,0.166667,0.4,0,0,0,0.522727
2,"12215",0.179422,0,0.275775,0,0.333333,0.18,0,0.00463,0.002762,0
0,"12215",0.05778,0,0.180179,0,0.833333,0.57,0,0.13665,0.019337,0.204545
0,"12215",0.021794,0,0.048456,0,0.166667,0.09,0,0.003214,0.002762,0
0,"12215",0.135834,0,0.201487,0,0.166667,0.21,0,0.013256,0.002762,0
0,"12215",0.088191,0,0.296667,0,0.333333,0.43,0,0.002041,0.005525,0
0,"12215",1,0,1,0,0.333333,0.16,0,0,0,0
0,"12220",0.005174,0,0.050885,0,0.333333,0,0,0.02816,0.235294,0.022727
0,"12220",0.000207,0,0.013503,0,1,1,0,0.249171,1,1
0,"12220",0.000207,0,0.027105,0,0.666667,0.787879,0,0.022431,0.058824,0.090909
2,"12220",0.008692,0,0.020479,0,0,0.212121,0,1,0.176471,0.431818
0,"12220",0,0,0,0,1,0.909091,0,0,0,0
2,"12220",0.042839,0,0.137828,0,0.333333,0.636364,0,0.210511,0.058824,0
0,"12220",0.06043,0,0.247099,0,0.333333,0.424242,0,0,0,0
0,"12220",1,0,1,0,0,0.484848,0,0,0,0
0,"12237",0.22163,0,0.348877,0,0.4,0.560976,0,0.449036,0.166667,0.076923
1,"12237",0.028267,0,0.023953,0.929351,0.2,0.487805,0,0.95703,1,0.615385
1,"12237",0.027038,0,0.022549,1,0.2,0.341463,0,1,1,0.615385
0,"12237",0.02499,0,0.030803,0.60009,0,0,0,0.194587,0.333333,0.153846
0,"12237",0.038509,0,0.033058,0.151819,0.6,0.560976,0,0.456529,0.166667,0.076923
0,"12237",0.009013,0,0.013742,0,0.2,0.170732,0,0.305195,0.166667,0.153846
0,"12237",0,0,0,0,0.4,0.658537,0,0,0,0
1,"12237",0.011061,0,0.005446,0,0.2,0.341463,0,0,0,0
1,"12237",0.009422,0,0.009786,0.091518,0.8,0.609756,0,0.001388,0.166667,0
0,"12237",0.129045,0,0.178268,0,1,0.902439,0,0.443463,0.166667,1
0,"12237",0.071692,0,0.085432,0.55704,0.8,0.707317,0,0.074289,0.333333,1
0,"12237",0.019664,0,0.019443,0,0.4,0.04878,0,0.007742,0.166667,0
0,"12237",0.094633,0,0.097558,0,0.2,0.560976,0,0,0,0
1,"12237",0.054896,0,0.043057,0.111874,0.4,0.634146,0,0.131748,0.333333,0
0,"12237",1,0,1,0,0.8,1,0,0.124586,0.166667,0
0,"12237",0.004506,0,0.000893,0,0.4,0.365854,0,0.006264,0.166667,0
1,"12276",0.247423,0,0.094706,0,0.333333,0.125,0,0,0.006969,0.74359
0,"12276",0.053837,0,0.021966,1,1,0.4375,0,0.014904,0,0.358974
0,"12276",0,0,0,0.613643,0,0.1875,0,1,1,0.282051
0,"12276",0.040092,0,0.025846,0,0.333333,0,0,0.041999,0.080139,1
0,"12276",1,0,1,0,0.333333,0.40625,0,0.000483,0,0
1,"12276",0.739977,0,0.37097,0,1,1,0,0.000278,0,0
2,"12276",0.163803,0,0.063427,0.634331,0,0.46875,0,0.000657,0.003484,0
0,"12281",0.02129,0,0.009215,0,0.2,0,0,0,0,0.413793
0,"12281",0,0,0,0,0.4,0.8,0,0,0,0
1,"12281",0.025547,0,0.028304,0.452662,0,0.133333,0,0.007258,0.022222,0
0,"12281",0.01764,0,0.003038,0,0,0.266667,0,0.034059,0.022222,0
1,"12281",0.083942,0,0.069392,1,0.6,0.866667,0,0.420062,0.244444,0.413793
0,"12281",0.024331,0,0.021392,0,0.4,0.566667,0,1,1,1
0,"12281",0.013382,0,0.009544,0,1,1,0,0.025972,0.022222,0
1,"12281",1,0,1,0.085131,0.2,1,0,0.037407,0.044444,0
0,"12288",0.126657,0,0.098891,0.617313,0,0.017857,0,0.003185,0.097473,0.425532
0,"12288",0.013189,0,0.015295,0.827478,0,0.25,0,1,1,1
